Date,Open,High,Low,Close,Adj Close,Volume
3/16/2011,1.562917,1.587292,1.453125,1.485208,1.481496,54192000
3/17/2011,1.553125,1.572917,1.5225,1.523958,1.52015,29121600
3/18/2011,1.577292,1.577917,1.5125,1.515625,1.511837,29678400
3/21/2011,1.582083,1.625,1.575417,1.600208,1.596209,23812800
3/22/2011,1.607708,1.6125,1.583333,1.595833,1.591845,16089600
3/23/2011,1.57625,1.634167,1.544167,1.62,1.615952,26136000
3/24/2011,1.657917,1.718333,1.629583,1.708125,1.703856,32664000
3/25/2011,1.725208,1.754167,1.713542,1.720625,1.716325,37075200
3/28/2011,1.743958,1.744167,1.689375,1.691458,1.687231,22209600
3/29/2011,1.68125,1.740417,1.66375,1.74,1.735651,16824000
3/30/2011,1.766667,1.772292,1.742917,1.765625,1.761212,16886400
3/31/2011,1.758333,1.7775,1.747917,1.773125,1.768694,14107200
4/1/2011,1.798542,1.815833,1.760417,1.775833,1.771395,18888000
4/4/2011,1.791042,1.795417,1.735208,1.759792,1.755394,15604800
4/5/2011,1.746667,1.775,1.733333,1.739792,1.735444,13483200
4/6/2011,1.781458,1.79875,1.725417,1.752917,1.748536,16598400
4/7/2011,1.754167,1.786042,1.716458,1.7525,1.74812,17985600
4/8/2011,1.776667,1.782917,1.700208,1.72625,1.721936,12614400
4/11/2011,1.74625,1.758125,1.693542,1.710625,1.70635,14020800
4/12/2011,1.686458,1.699167,1.655208,1.676875,1.672684,16641600
4/13/2011,1.713125,1.731042,1.677083,1.716875,1.712584,17712000
4/14/2011,1.681042,1.715417,1.660417,1.7075,1.703233,16968000
4/15/2011,1.6875,1.71875,1.66625,1.696458,1.692219,37420800
4/18/2011,1.647292,1.664583,1.58,1.66375,1.659592,31440000
4/19/2011,1.674167,1.69375,1.649583,1.69375,1.689517,26832000
4/20/2011,1.783125,1.813333,1.777083,1.806458,1.801944,32788800
4/21/2011,1.862917,1.863542,1.835625,1.852292,1.847663,16243200
4/25/2011,1.858958,1.86875,1.84625,1.866042,1.861379,11337600
4/26/2011,1.88125,1.916667,1.869792,1.898125,1.893382,11198400
4/27/2011,1.90625,1.942292,1.8825,1.9375,1.932658,15667200
4/28/2011,1.918542,1.935417,1.903125,1.934583,1.929748,16507200
4/29/2011,1.919583,1.939375,1.911458,1.925208,1.920397,13104000
5/2/2011,1.933542,1.945833,1.897708,1.914792,1.910007,13468800
5/3/2011,1.90875,1.914167,1.850208,1.886042,1.881329,13051200
5/4/2011,1.885833,1.901875,1.830417,1.875,1.870314,20486400
5/5/2011,1.8475,1.912292,1.826458,1.846875,1.84226,23937600
5/6/2011,1.903125,1.933125,1.848125,1.862917,1.858261,19209600
5/9/2011,1.871667,1.906042,1.851875,1.883125,1.878419,10468800
5/10/2011,1.901667,1.939583,1.891458,1.931458,1.926631,13838400
5/11/2011,1.925625,1.943958,1.850833,1.889792,1.885069,16176000
5/12/2011,1.87,1.931042,1.839792,1.923125,1.918319,15072000
5/13/2011,1.910208,1.918958,1.853125,1.855,1.850364,18513600
5/16/2011,1.830625,1.845208,1.74625,1.758542,1.754147,19929600
5/17/2011,1.732083,1.773958,1.721458,1.772917,1.768486,22435200
5/18/2011,1.766458,1.826458,1.759167,1.816042,1.811504,10641600
5/19/2011,1.837083,1.843958,1.800417,1.831667,1.82709,13156800
5/20/2011,1.825417,1.8325,1.784583,1.79125,1.786774,10915200
5/23/2011,1.717708,1.732292,1.688125,1.713542,1.70926,19358400
5/24/2011,1.726667,1.726667,1.680833,1.68125,1.677048,16982400
5/25/2011,1.673125,1.723542,1.672083,1.7,1.695752,13478400
5/26/2011,1.683333,1.746042,1.683333,1.731875,1.727547,11784000
5/27/2011,1.740417,1.762917,1.736667,1.757708,1.753315,8764800
5/31/2011,1.808333,1.842292,1.779792,1.842292,1.837688,13828800
6/1/2011,1.830208,1.841875,1.719583,1.724583,1.720273,23088000
6/2/2011,1.732292,1.751042,1.706042,1.734583,1.730248,11697600
6/3/2011,1.67375,1.711875,1.65,1.655833,1.651695,20347200
6/6/2011,1.648125,1.669167,1.613958,1.615833,1.611795,13368000
6/7/2011,1.628333,1.647083,1.603542,1.606458,1.602443,13963200
6/8/2011,1.595417,1.60375,1.558333,1.571875,1.567947,23380800
6/9/2011,1.5725,1.60125,1.557917,1.57875,1.574805,11016000
6/10/2011,1.557292,1.567917,1.503958,1.50625,1.502486,13924800
6/13/2011,1.512708,1.530417,1.492083,1.507292,1.503525,14745600
6/14/2011,1.54125,1.576458,1.540833,1.563333,1.559426,14630400
6/15/2011,1.521042,1.548125,1.467708,1.477917,1.474223,22334400
6/16/2011,1.47875,1.492708,1.421042,1.457292,1.45365,21292800
6/17/2011,1.498542,1.504167,1.43375,1.446458,1.442843,22492800
6/20/2011,1.432292,1.480417,1.432292,1.465625,1.461962,11803200
6/21/2011,1.484583,1.56625,1.464792,1.563333,1.559426,18571200
6/22/2011,1.5425,1.569583,1.527083,1.528125,1.524306,15552000
6/23/2011,1.477917,1.5725,1.464167,1.570417,1.566492,28963200
6/24/2011,1.547083,1.551875,1.480417,1.487708,1.48399,23510400
6/27/2011,1.494792,1.580417,1.48625,1.56,1.556101,18590400
6/28/2011,1.57125,1.630833,1.565417,1.63,1.625926,14419200
6/29/2011,1.644375,1.658333,1.614583,1.650417,1.646292,17102400
6/30/2011,1.667708,1.718125,1.664792,1.713125,1.708844,22608000
7/1/2011,1.71875,1.799167,1.703958,1.7925,1.78802,19180800
7/5/2011,1.798542,1.824167,1.787083,1.818333,1.813789,18321600
7/6/2011,1.81375,1.845417,1.795833,1.837708,1.833115,19958400
7/7/2011,1.878125,1.928125,1.871458,1.912083,1.907305,26774400
7/8/2011,1.863542,1.896875,1.833125,1.89625,1.891511,36508800
7/11/2011,1.838333,1.865208,1.774583,1.794583,1.790098,33854400
7/12/2011,1.792083,1.80375,1.748333,1.750833,1.746458,25161600
7/13/2011,1.789792,1.8275,1.755625,1.774167,1.769733,28699200
7/14/2011,1.789792,1.812708,1.692917,1.713125,1.708844,30859200
7/15/2011,1.772083,1.78125,1.735417,1.78125,1.776798,24100800
7/18/2011,1.754583,1.774583,1.702083,1.751875,1.747497,21172800
7/19/2011,1.804583,1.878125,1.804167,1.875417,1.87073,36216000
7/20/2011,1.905208,1.90625,1.841667,1.849167,1.844546,26769600
7/21/2011,1.854792,1.916667,1.825,1.886667,1.881952,32803200
7/22/2011,1.885,1.952708,1.879583,1.945208,1.940347,22867200
7/25/2011,1.897083,1.964583,1.887708,1.93375,1.928917,20025600
7/26/2011,1.927292,1.967917,1.918125,1.944375,1.939516,25838400
7/27/2011,1.908958,1.9125,1.783333,1.796875,1.792384,36014400
7/28/2011,1.800208,1.87375,1.778958,1.806458,1.801944,30849600
7/29/2011,1.762083,1.844583,1.736875,1.788958,1.784487,37435200
8/1/2011,1.85375,1.863333,1.7,1.764792,1.760382,49334400
8/2/2011,1.737917,1.761667,1.623958,1.630833,1.626757,44251200
8/3/2011,1.635,1.681458,1.55125,1.673125,1.668944,43896000
8/4/2011,1.604167,1.612083,1.445,1.445417,1.441805,73027200
8/5/2011,1.493333,1.511875,1.295208,1.413542,1.410009,79459200
8/8/2011,1.288958,1.358958,1.1625,1.165208,1.162296,96364800
8/9/2011,1.21125,1.328958,1.116458,1.324792,1.321481,106464000
8/10/2011,1.236042,1.29375,1.161667,1.168542,1.165622,80894400
8/11/2011,1.213958,1.358542,1.199167,1.318542,1.315247,71587200
8/12/2011,1.348542,1.376042,1.301458,1.352083,1.348704,62572800
8/15/2011,1.368958,1.410833,1.350208,1.410417,1.406892,37872000
8/16/2011,1.372083,1.410833,1.320417,1.374167,1.370733,37660800
8/17/2011,1.3825,1.415417,1.31,1.351875,1.348496,53059200
8/18/2011,1.241667,1.242083,1.118542,1.155833,1.152944,82180800
8/19/2011,1.116458,1.200417,1.0875,1.091042,1.088315,71832000
8/22/2011,1.167708,1.170208,1.091875,1.100833,1.098082,54115200
8/23/2011,1.124375,1.237917,1.111458,1.237083,1.233992,71534400
8/24/2011,1.230625,1.273333,1.1975,1.26625,1.263085,49291200
8/25/2011,1.263542,1.281458,1.192083,1.205417,1.202405,38145600
8/26/2011,1.194583,1.307292,1.157708,1.2925,1.28927,55603200
8/29/2011,1.333333,1.407292,1.333333,1.4025,1.398995,56616000
8/30/2011,1.3875,1.456042,1.364583,1.431042,1.427466,57235200
8/31/2011,1.4575,1.491458,1.401875,1.439375,1.435778,64113600
9/1/2011,1.44875,1.482292,1.390625,1.39875,1.395254,49459200
9/2/2011,1.32,1.340625,1.278542,1.300833,1.297582,38534400
9/6/2011,1.208958,1.306458,1.2,1.300625,1.297375,42513600
9/7/2011,1.357083,1.4,1.346042,1.398958,1.395462,40022400
9/8/2011,1.376667,1.438333,1.367292,1.379583,1.376135,49761600
9/9/2011,1.354167,1.368958,1.262917,1.28875,1.285529,51912000
9/12/2011,1.24625,1.34,1.243542,1.337083,1.333741,59928000
9/13/2011,1.3525,1.399167,1.33375,1.388958,1.385487,70060800
9/14/2011,1.413125,1.497917,1.37,1.448958,1.445337,58406400
9/15/2011,1.499167,1.521875,1.45375,1.514792,1.511006,58843200
9/16/2011,1.526667,1.560833,1.51625,1.554375,1.55049,61555200
9/19/2011,1.499375,1.582292,1.46,1.558333,1.554439,61862400
9/20/2011,1.580833,1.618542,1.526458,1.53625,1.532411,59788800
9/21/2011,1.560208,1.58375,1.456875,1.458125,1.454481,58612800
